,T_SG,SGCR,SGHU,SGHO,SGHS,SGSI,SGZM,T_AG_BM,Zm_AG_BM,Ho_AG_BM,Hs_AG_BM,Cr_AG_BM,Hu_AG_BM,Si_AG_BM,year,SGZMHU,ZmHu_AG_BM
2012_MBMOT5E,58.333333,0,58.333333,0,0,0,0,40.82854807,40.82854807,0,0,0,0,0,2012,58.333333,40.82854807
2012_MBMOT5W,16.666667,0,16.666667,0,0,0,0,11.76473339,0,0,0,0,11.05171925,0.713014145,2012,16.666667,11.05171925
2012_MBMOT6E,75,0,0,0,0,0,75,24.56503495,22.38072178,2.184313175,0,0,0,0,2012,75,22.38072178
2012_MBMOT6W,100,0,0,0,0,4.166667,95.833333,62.02657178,45.11795062,0,0,0,0,16.90862115,2012,95.833333,45.11795062
2012_MBMOT8N,25,0,0,0,0,25,0,26.88516034,11.43652053,0.543248872,0,0,0,14.90539094,2012,0,11.43652053
2012_MBMOT8S,20.833333,0,0,0,0,0,20.833333,22.35242756,22.35242756,0,0,0,0,0,2012,20.833333,22.35242756
2012_MBMOT9N,54.166667,0,0,0,0,54.166667,0,46.30630753,0,0,0,0,0,46.30630753,2012,0,0
2012_MBWAT3E,29.166667,0,0,0,0,0,29.166667,22.48258094,19.6757951,2.66531478,0.141471061,0,0,0,2012,29.166667,19.6757951
2012_MBWAT4E,50,0,0,0,0,0,50,28.1470822,26.21741694,1.929665266,0,0,0,0,2012,50,26.21741694
2012_MBWAT5E,75,0,0,0,0,75,0,59.98938851,0,0,0,0,0,59.98938851,2012,0,0
2012_MBWAT5W,37.5,37.5,0,0,0,0,0,35.35644745,0,0,0,35.35644745,0,0,2012,0,0
2012_MBWAT6E,33.333333,0,0,0,0,0,33.333333,34.32087928,31.85362399,2.467255296,0,0,0,0,2012,33.333333,31.85362399
2012_MBWAT6W,83.333333,83.333333,0,0,0,0,0,124.7095693,0,0,0,124.7095693,0,0,2012,0,0
2012_MBWAT1W,79.166667,79.166667,0,0,0,0,0,86.26905271,0,0,0,48.89239852,0,37.37665419,2012,0,0
2013_BMS_AM7,95.83333333,0,0,0,0,95.83333333,0,49.79781331,0,0,0,0,0,49.79781331,2013,0,0
2013_BMS_MA18,20.83333333,0,0,12.5,8.333333333,0,0,22.63536968,0,15.27887454,7.356495147,0,0,0,2013,0,0
2013_BMS_WA0,70.83333333,0,0,0,0,0,70.83333333,65.64257208,65.07668784,0,0,0,0.565884242,0,2013,70.83333333,65.64257208
2013_BMS_WA4,100,100,0,0,0,0,0,65.64257208,0,0,0,65.64257208,0,0,2013,0,0
2013_BMS_WA5,100,100,0,0,0,0,0,88.84382601,0,0,0,88.84382601,0,0,2013,0,0
