,Photo_Name,T_SG,SGZM,SGHU,SGHO,SGHS,SGCR,SGSI,SGZMHU,transect,bank
1,WA15,54.2,41.7,0,12.5,0,0,0,41.7,MBWAT15,WA
2,WA15,70.8,70.8,0,0,0,0,0,70.8,MBWAT15,WA
3,WA15,4.2,4.2,0,0,0,0,0,4.2,MBWAT15,WA
4,WA15,33.3,25,0,8.3,0,0,0,25,MBWAT15,WA
5,WA15,66.7,54.2,0,12.5,0,0,0,54.2,MBWAT15,WA
6,WA15,54.2,45.8,0,8.3,0,0,0,45.8,MBWAT15,WA
7,WA15,29.2,8.3,0,20.8,0,0,0,8.3,MBWAT15,WA
8,WA15,54.2,50,0,4.2,0,0,0,50,MBWAT15,WA
9,WA15,62.5,58.3,0,4.2,0,0,0,58.3,MBWAT15,WA
10,WA15,4.2,0,0,4.2,0,0,0,0,MBWAT15,WA
11,WA15,8.3,0,0,8.3,0,0,0,0,MBWAT15,WA
12,WA15,37.5,25,0,12.5,0,0,0,25,MBWAT15,WA
13,WA15,8.3,4.2,0,4.2,0,0,0,4.2,MBWAT15,WA
14,WA15,45.8,41.7,0,4.2,0,0,0,41.7,MBWAT15,WA
15,WA15,62.5,58.3,0,4.2,0,0,0,58.3,MBWAT15,WA
16,WA15,37.5,37.5,0,0,0,0,0,37.5,MBWAT15,WA
17,WA15,54.2,45.8,0,8.3,0,0,0,45.8,MBWAT15,WA
18,WA15,29.2,29.2,0,0,0,0,0,29.2,MBWAT15,WA
19,WA15,41.7,33.3,0,8.3,0,0,0,33.3,MBWAT15,WA
20,WA15,29.2,25,0,4.2,0,0,0,25,MBWAT15,WA
21,WA15,70.8,62.5,0,8.3,0,0,0,62.5,MBWAT15,WA
22,WA15,29.2,29.2,0,0,0,0,0,29.2,MBWAT15,WA
23,WA15,54.2,54.2,0,0,0,0,0,54.2,MBWAT15,WA
24,WA15,54.2,50,0,4.2,0,0,0,50,MBWAT15,WA
25,WA15,62.5,58.3,0,4.2,0,0,0,58.3,MBWAT15,WA
26,WA15,58.3,54.2,0,4.2,0,0,0,54.2,MBWAT15,WA
27,WA15,87.5,87.5,0,0,0,0,0,87.5,MBWAT15,WA
28,WA15,58.3,58.3,0,0,0,0,0,58.3,MBWAT15,WA
29,WA15,95.8,95.8,0,0,0,0,0,95.8,MBWAT15,WA
30,WA15,87.5,87.5,0,0,0,0,0,87.5,MBWAT15,WA
31,AM16,16.7,0,0,0,16.7,0,0,0,MBAMT16,AM
32,AM16,29.2,0,0,0,29.2,0,0,0,MBAMT16,AM
33,AM16,16.7,0,0,0,16.7,0,0,0,MBAMT16,AM
34,AM16,41.7,0,0,0,41.7,0,0,0,MBAMT16,AM
35,AM16,25,0,0,4.2,20.8,0,0,0,MBAMT16,AM
36,AM16,20.8,0,0,0,20.8,0,0,0,MBAMT16,AM
37,AM16,4.2,0,0,4.2,0,0,0,0,MBAMT16,AM
38,AM16,8.3,8.3,0,0,0,0,0,8.3,MBAMT16,AM
39,AM16,41.7,41.7,0,0,0,0,0,41.7,MBAMT16,AM
40,AM16,50,50,0,0,0,0,0,50,MBAMT16,AM
41,AM16,33.3,33.3,0,0,0,0,0,33.3,MBAMT16,AM
42,AM16,20.8,20.8,0,0,0,0,0,20.8,MBAMT16,AM
43,AM16,29.2,29.2,0,0,0,0,0,29.2,MBAMT16,AM
44,AM16,25,0,0,0,25,0,0,0,MBAMT16,AM
45,AM16,50,0,0,0,50,0,0,0,MBAMT16,AM
46,AM16,45.8,45.8,0,0,0,0,0,45.8,MBAMT16,AM
47,AM16,25,20.8,0,4.2,0,0,0,20.8,MBAMT16,AM
48,AM16,25,25,0,0,0,0,0,25,MBAMT16,AM
49,AM16,16.7,12.5,0,4.2,0,0,0,12.5,MBAMT16,AM
50,AM16,37.5,29.2,0,4.2,4.2,0,0,29.2,MBAMT16,AM
51,AM16,29.2,29.2,0,0,0,0,0,29.2,MBAMT16,AM
52,AM16,37.5,37.5,0,0,0,0,0,37.5,MBAMT16,AM
53,AM16,23.8,14.4,0,0.7,8.7,0.1,0,14.4,MBAMT16,AM
54,MA10,20.8,0,0,8.3,12.5,0,0,0,MBMAT10,MA
55,MA10,12.5,0,0,8.3,4.2,0,0,0,MBMAT10,MA
56,MA10,4.2,0,0,4.2,0,0,0,0,MBMAT10,MA
57,MA10,12.5,0,0,12.5,0,0,0,0,MBMAT10,MA
58,MA10,4.2,0,0,4.2,0,0,0,0,MBMAT10,MA
59,MA10,4.2,0,0,4.2,0,0,0,0,MBMAT10,MA
60,MA10,16.7,0,0,12.5,4.2,0,0,0,MBMAT10,MA
61,MA10,4.2,0,0,4.2,0,0,0,0,MBMAT10,MA
62,MA10,4.2,0,0,4.2,0,0,0,0,MBMAT10,MA
63,MA10,16.7,0,0,8.3,8.3,0,0,0,MBMAT10,MA
64,MA10,8.3,0,0,4.2,4.2,0,0,0,MBMAT10,MA
65,MA10,16.7,0,0,12.5,4.2,0,0,0,MBMAT10,MA
66,MA10,4.2,0,0,4.2,0,0,0,0,MBMAT10,MA
67,MA10,20.8,0,0,20.8,0,0,0,0,MBMAT10,MA
68,MA10,4.2,0,0,4.2,0,0,0,0,MBMAT10,MA
69,MA10,8.3,0,0,4.2,4.2,0,0,0,MBMAT10,MA
70,MA10,25,0,0,12.5,12.5,0,0,0,MBMAT10,MA
