,Photo_Name,T_SG,SGZM,SGHU,SGHO,SGHS,SGCR,SGSI,SGZMHU,transect,bank
1,20120220_MBAMT10_02.JPG,79.166667,0,0,0,0,0,79.166667,0,MBAMT10,AM
2,20120220_MBAMT10_03.JPG,87.5,0,0,0,0,0,87.5,0,MBAMT10,AM
3,20120220_MBAMT10_04.JPG,62.5,0,0,0,0,0,0,0,MBAMT10,AM
4,20120220_MBAMT10_05.JPG,50,62.5,0,0,0,0,0,62.5,MBAMT10,AM
5,20120220_MBAMT10_06.JPG,100,50,0,0,0,95.833333,0,50,MBAMT10,AM
6,20120220_MBAMT10_07.JPG,95.833333,4.166667,0,0,0,91.666667,0,4.166667,MBAMT10,AM
7,20120220_MBAMT10_08.JPG,100,4.166667,0,0,0,100,0,4.166667,MBAMT10,AM
8,20120220_MBAMT10_09.JPG,95.833333,0,0,0,0,95.833333,0,0,MBAMT10,AM
9,20120220_MBAMT10_10.JPG,95.833333,0,0,0,0,95.833333,0,0,MBAMT10,AM
10,20120220_MBAMT10_11.JPG,100,0,0,0,0,100,0,0,MBAMT10,AM
11,20120220_MBAMT10_12.JPG,100,0,0,0,0,100,0,0,MBAMT10,AM
12,20120220_MBAMT10_13.JPG,100,0,0,0,0,100,0,0,MBAMT10,AM
13,20120220_MBAMT10_14.JPG,100,0,0,0,0,100,0,0,MBAMT10,AM
14,20120220_MBAMT10_15.JPG,100,0,0,0,0,100,0,0,MBAMT10,AM
15,20120220_MBAMT10_16.JPG,100,0,0,0,0,100,0,0,MBAMT10,AM
16,20120220_MBAMT10_17.JPG,95.833333,0,0,0,0,87.5,0,0,MBAMT10,AM
17,20120220_MBAMT10_18.JPG,54.166667,8.333333,0,0,0,4.166667,0,8.333333,MBAMT10,AM
18,20120220_MBAMT10_19.JPG,95.833333,50,0,0,0,95.833333,0,50,MBAMT10,AM
19,20120220_MBAMT10_20.JPG,100,0,0,0,0,100,0,0,MBAMT10,AM
20,20120220_MBAMT10_21.JPG,100,0,0,0,0,100,0,0,MBAMT10,AM
21,20120220_MBAMT10_22.JPG,100,0,0,0,0,100,0,0,MBAMT10,AM
22,20120220_MBAMT10_23.JPG,100,0,0,0,0,100,0,0,MBAMT10,AM
23,20120220_MBAMT10_24.JPG,100,0,0,0,0,100,0,0,MBAMT10,AM
24,20120220_MBAMT10_25.JPG,100,0,0,0,0,100,0,0,MBAMT10,AM
25,20120220_MBAMT10_26.JPG,100,0,0,0,0,100,0,0,MBAMT10,AM
