,Photo_Name,T_SG,SGZM,SGHU,SGHO,SGHS,SGCR,SGSI,SGZMHU,transect,bank
57,20130211_MBAMT01_59.JPG,83.333333,79.166667,0,0,0,0,4.166667,79.166667,MBAMT01,AM
58,20130211_MBAMT01_60.JPG,91.666667,0,0,0,0,0,91.666667,0,MBAMT01,AM
59,20130211_MBAMT01_61.JPG,79.166667,79.166667,0,0,0,0,0,79.166667,MBAMT01,AM
60,20130211_MBAMT01_62.JPG,79.166667,0,0,0,0,0,79.166667,0,MBAMT01,AM
61,20130211_MBAMT01_63.JPG,95.833333,0,0,0,0,0,95.833333,0,MBAMT01,AM
62,20130211_MBAMT01_64.JPG,91.666667,0,0,0,0,0,91.666667,0,MBAMT01,AM
63,20130211_MBAMT01_65.JPG,83.333333,0,0,0,0,0,83.333333,0,MBAMT01,AM
64,20130211_MBAMT01_66.JPG,75,8.333333,0,0,0,0,66.666667,8.333333,MBAMT01,AM
65,20130211_MBAMT01_67.JPG,79.166667,79.166667,0,0,0,0,0,79.166667,MBAMT01,AM
66,20130211_MBAMT01_68.JPG,83.333333,75,0,8.333333,0,0,0,75,MBAMT01,AM
67,20130211_MBAMT01_69.JPG,79.166667,79.166667,0,0,0,0,0,79.166667,MBAMT01,AM
68,20130211_MBAMT01_70.JPG,79.166667,16.666667,0,0,0,0,62.5,16.666667,MBAMT01,AM
69,20130211_MBAMT01_71.JPG,58.333333,45.833333,0,8.333333,0,0,4.166667,45.833333,MBAMT01,AM
70,20130211_MBAMT01_72.JPG,73.913043,60.869565,0,4.347826,0,0,8.695652,60.869565,MBAMT01,AM
71,20130211_MBAMT01_73.JPG,75,75,0,0,0,0,0,75,MBAMT01,AM
72,20130211_MBAMT01_74.JPG,66.666667,54.166667,0,12.5,0,0,0,54.166667,MBAMT01,AM
73,20130211_MBAMT01_75.JPG,62.5,54.166667,0,8.333333,0,0,0,54.166667,MBAMT01,AM
74,20130211_MBAMT01_76.JPG,75,66.666667,0,8.333333,0,0,0,66.666667,MBAMT01,AM
75,20130211_MBAMT01_77.JPG,79.166667,41.666667,0,37.5,0,0,0,41.666667,MBAMT01,AM
76,20130211_MBAMT01_78.JPG,66.666667,54.166667,0,12.5,0,0,0,54.166667,MBAMT01,AM
77,20130211_MBAMT01_79.JPG,91.666667,70.833333,0,20.833333,0,0,0,70.833333,MBAMT01,AM
78,20130211_MBAMT01_80.JPG,79.166667,62.5,0,12.5,0,0,4.166667,62.5,MBAMT01,AM
79,20130211_MBAMT01_81.JPG,75,70.833333,0,0,0,0,4.166667,70.833333,MBAMT01,AM
80,20130211_MBAMT01_82.JPG,66.666667,66.666667,0,0,0,0,0,66.666667,MBAMT01,AM
81,20130211_MBAMT01_83.JPG,62.5,62.5,0,0,0,0,0,62.5,MBAMT01,AM
82,20130211_MBAMT01_84.JPG,91.666667,91.666667,0,0,0,0,0,91.666667,MBAMT01,AM
83,20130211_MBAMT01_85.JPG,62.5,58.333333,0,4.166667,0,0,0,58.333333,MBAMT01,AM
84,20130211_MBAMT01_86.JPG,70.833333,70.833333,0,0,0,0,0,70.833333,MBAMT01,AM
85,20130211_MBAMT01_87.JPG,4.166667,4.166667,0,0,0,0,0,4.166667,MBAMT01,AM
86,20130211_MBAMT01_88.JPG,79.166667,79.166667,0,0,0,0,0,79.166667,MBAMT01,AM
92,20130211_MBAMT10_06.JPG,54.166667,50,0,0,0,0,4.166667,50,MBAMT10,AM
